brand_name,pants_description,price,MRP,discount_percent,ratings,number_of_ratings
WROGN,Men Slim Fit Stretchable Jeans,1275.0,2199.0,0.42,4.2,130.0
glitchez,Men Skinny Fit Jeans,483.0,2199.0,0.78,4.4,17.0
WROGN,Men Anti Fit Stretchable Jeans,1623.0,2799.0,0.42,2.3,24.0
Flying Machine,Men Relaxed Fit Jeans,2309.0,3499.0,0.34,2.3,24.0
NEXT,Men Slim Fit Mid-Rise Jeans,2579.0,4299.0,0.4,2.3,24.0
Blackberrys,Men Regular Fit Mid-Rise Jeans,2579.0,4299.0,0.4,2.3,24.0
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,2579.0,4299.0,0.4,2.3,24.0
Metronaut,Men Regular Fit Low-Rise Jeans,497.0,1299.0,8.02,2.3,24.0
Wrangler,Men Skinny Fit Mid-Rise Jeans,497.0,1299.0,8.02,2.3,24.0
Levis,Men 511 Slim Fit Jeans,2079.0,3999.0,0.48,3.9,31.0
BEVDAAS,Men High-Rise Jeans,999.0,4998.0,39.99,3.9,31.0
Flying Machine,Men Slim Fit Jeans,1549.0,2499.0,0.38,3.9,31.0
Cantabil,Men Jeans,1709.0,3799.0,0.55,3.9,31.0
Mufti,Men Narrow Fit Jeans,1363.0,4399.0,0.69,3.6,32.0
WROGN,Men Anti Fit Jeans,1399.0,2799.0,0.5,4.1,25.0
Metronaut,Men Tapered Fit Jeans,419.0,1299.0,8.8,4.1,25.0
SPYKAR,Relaxed Fit Stretchable Jeans,1559.0,3899.0,0.6,3.1,9.0
Mufti,Men Mid-Rise Skinny Fit Jeans,1393.0,3399.0,0.59,3.8,16.0
Calvin Klein Jeans,Men Slim Fit Jeans,8999.0,14999.0,0.4,3.8,16.0
Calvin Klein Jeans,Men Cotton Slim Fit Jeans,8999.0,14999.0,0.4,3.8,16.0
FUGAZEE,Men Relaxed Fit Jeans,2099.0,3499.0,0.4,3.7,124.0
Espanshe,Jammy Boot Cut Jeans,1492.0,2132.0,0.3,3.7,124.0
WROGN,Men Loose Fit Cotton Jeans,1374.0,2499.0,0.45,4.2,57.0
Flying Machine,Men Slim Fit Jeans,1829.0,2999.0,0.39,4.6,5.0
Mufti,Men Slim Fit Jeans,2149.0,4299.0,0.5,3.4,5.0
WROGN,Men Mid-Rise Jeans,1679.0,2799.0,0.4,3.4,5.0
United Colors of Benetton,Men Relaxed Fit Mid-Rise Jeans,1679.0,2799.0,0.4,3.4,5.0
Flying Machine,Men Solid Stretchable Jeans,1741.0,2599.0,0.33,4.5,21.0
Snitch,Men Distressed Baggy Fit Jeans,1741.0,2599.0,0.33,4.5,21.0
WROGN,Men Anti Fit Jeans,1623.0,2799.0,0.42,4.2,42.0
Pepe Jeans,Men Slim Fit Jeans,1839.0,4599.0,0.6,4.0,33.0
StyleCast x Revolte,Men Heavy Fade Jeans,1583.0,3299.0,0.52,3.2,61.0
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,1583.0,3299.0,0.52,3.2,61.0
SPYKAR,Men Mid-Rise Jeans,2119.0,5299.0,0.6,3.6,5.0
Snitch,Men Jeans,2119.0,5299.0,0.6,3.6,5.0
Roadster,Men Regular Fit Mid-Rise Jeans,759.0,1899.0,0.6,4.0,63.0
StyleCast x Revolte,Men  Light Fade Mid-Rise Jeans,1814.0,3299.0,0.45,2.9,40.0
DENIMLOOK,Men Relaxed Fit Jeans,599.0,2499.0,19.0,3.9,29.0
Flying Machine,Slim Fit Stretchable Jeans,1829.0,2999.0,0.39,3.9,29.0
Metronaut,Men Slim Fit Jeans,574.0,2299.0,0.75,3.9,29.0
Louis Philippe Jeans,Men Narrow Slim Fit Jeans,2123.0,3599.0,0.41,4.1,36.0
Levis,Men 511 Slim Fit Jeans,1478.0,2899.0,0.49,4.3,264.0
StyleCast x Revolte,Mid-Rise Light Fade Jeans,2116.0,3649.0,0.42,4.3,264.0
Snitch,Men Baggy Fit Jeans,2116.0,3649.0,0.42,4.3,264.0
United Colors of Benetton,Men Mid-Rise Regular Fit Jeans,2116.0,3649.0,0.42,4.3,264.0
Mufti,Men Mildly Distressed Jeans,1844.0,4499.0,0.59,4.1,27.0
ANGERHOOD,Men Slim Fit Mid-Rise Jeans,545.0,2999.0,24.54,4.1,27.0
Calvin Klein Jeans,Men Slim Fit Jeans,545.0,2999.0,24.54,4.1,27.0
Nautica,Men Slim Fit Mid-Rise Jeans,1409.0,2999.0,0.53,4.4,48.0
bigbanana,Plus Size Men Cotton Jeans,1781.0,3299.0,0.46,4.2,85.0
WROGN,Men Slim Fit Stretchable Jeans,1275.0,2199.0,0.42,4.2,130.0
BEAT LONDON by PEPE JEANS,Men Skinny Fit Jeans,1499.0,2999.0,0.5,4.1,29.0
WROGN,Men Relaxed Fit Mid-Rise Jeans,1559.0,2599.0,0.4,3.2,5.0
Flying Machine,Men Relaxed Fit Jeans,2309.0,3499.0,0.34,3.2,5.0
LINARIA,Men Tapered Fit Jeans,379.0,1299.0,9.2,3.2,5.0
HERE&NOW,Men Low Distress Jeans,1483.0,2799.0,0.47,2.3,19.0
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,1483.0,2799.0,0.47,2.3,19.0
Metronaut,Men Slim Fit Jeans,574.0,2299.0,0.75,2.3,19.0
Metronaut,Men Slim Fit Jeans,574.0,2299.0,0.75,2.3,19.0
Levis,Men 511 Slim Fit Jeans,2079.0,3999.0,0.48,3.9,31.0
SZN,Men Regular Fit Mid-Rise Jeans,506.0,1299.0,0.61,3.9,31.0
U.S. Polo Assn. Denim Co.,Men Henry Skinny Fit Jeans,1655.0,2299.0,0.28,3.8,67.0
Flying Machine,Men Slim Fit Jeans,1549.0,2499.0,0.38,3.8,67.0
LINARIA,Men Slim Fit Jeans,418.0,1299.0,8.81,3.8,67.0
Flying Machine,Men Micheal Slim Fit Jeans,1624.0,2499.0,0.35,4.2,281.0
WROGN,Men Anti Fit Jeans,1399.0,2799.0,0.5,4.1,25.0
Roadster,Men Jogger Jeans,1399.0,2799.0,0.5,4.1,25.0
Being Human,Men Slim Fit Jeans,1519.0,3999.0,0.62,3.9,15.0
Mufti,Men Mid-Rise Skinny Fit Jeans,1393.0,3399.0,0.59,3.8,16.0
Mast & Harbour,Men Slim Fit Jeans,499.0,2099.0,0.76,2.0,5.0
LINARIA,Men Cotton Slim Fit Jeans,377.0,1299.0,9.22,2.0,5.0
FUGAZEE,Men Relaxed Fit Jeans,2099.0,3499.0,0.4,3.7,124.0
WROGN,Men Loose Fit Cotton Jeans,1374.0,2499.0,0.45,4.2,57.0
Flying Machine,Men Slim Fit Jeans,1829.0,2999.0,0.39,4.6,5.0
AMERICAN EAGLE OUTFITTERS,Men Slim Fit Mid-Rise Jeans,3599.0,5999.0,0.4,4.4,14.0
Mufti,Men Tapered Fit Jeans,1803.0,4399.0,0.59,2.9,8.0
United Colors of Benetton,Men Relaxed Fit Mid-Rise Jeans,1803.0,4399.0,0.59,2.9,8.0
U.S. Polo Assn. Denim Co.,Men Jeans,2624.0,3499.0,0.25,2.9,8.0
SZN,Men Regular Fit Mid-Rise Jeans,506.0,1299.0,0.61,2.9,8.0
WROGN,Men Anti Fit Jeans,1623.0,2799.0,0.42,4.2,42.0
Pepe Jeans,Men Slim Fit Stretchable Jeans,2249.0,4999.0,0.55,4.8,23.0
WROGN,Men Tapered Fit Jeans,1559.0,2599.0,0.4,4.8,23.0
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,1559.0,2599.0,0.4,4.8,23.0
FUGAZEE,Men Straight Fit Jeans,1999.0,3999.0,0.5,4.2,6.0
SPYKAR,Men Skinny Fit Low-Rise Jeans,1999.0,4999.0,0.6,3.3,26.0
Roadster,Men Regular Fit Mid-Rise Jeans,759.0,1899.0,0.6,4.0,63.0
Dais,Men Slim Fit Mid-Rise Jeans,499.0,1299.0,8.0,4.0,63.0
WROGN,Men Slim Fit Jeans,1449.0,2499.0,0.42,3.9,14.0
Flying Machine,Slim Fit Stretchable Jeans,1829.0,2999.0,0.39,3.9,14.0
SPYKAR,Men Slim Fit Cotton Jeans,2049.0,4099.0,0.5,3.9,14.0
Louis Philippe Jeans,Men Slim Fit Jeans,3539.0,5999.0,0.41,3.9,14.0
Levis,Men 511 Slim Fit Jeans,1478.0,2899.0,0.49,4.3,264.0
Blackberrys,Men Slim Fit Low-Rise Jeans,2097.0,3495.0,0.4,4.3,264.0
Mufti,Men Skinny Fit Jeans,1627.0,4399.0,0.63,4.4,16.0
United Colors of Benetton,Men Mid-Rise Regular Fit Jeans,1627.0,4399.0,0.63,4.4,16.0
SPYKAR,Men Mid Rise Stretchable Jeans,1999.0,3999.0,0.5,4.4,16.0
SPYKAR,Men Mid Rise Slim Fit Jeans,2639.0,4799.0,0.45,4.4,16.0
Calvin Klein Jeans,Men Slim Fit Jeans,2639.0,4799.0,0.45,4.4,16.0
Blackberrys,Men Skinny Fit Mid-Rise Jeans,2639.0,4799.0,0.45,4.4,16.0
StyleCast,Men Relaxed Light Fade Jeans,1487.0,3099.0,0.52,3.3,23.0
WROGN,Men Slim Fit Stretchable Jeans,1275.0,2199.0,0.42,4.2,130.0
Metronaut,Men Straight Fit Jeans,469.0,1299.0,8.3,4.2,130.0
VYNTIQ,Men Mid-Rise Baggy Jeans,499.0,3299.0,28.0,4.2,130.0
Flying Machine,Men Relaxed Fit Jeans,2309.0,3499.0,0.34,4.2,130.0
TURMS,30 Days No Wash Jeans,3499.0,4999.0,15.0,4.0,21.0
GAP,Men Skinny Fit Mid-Rise Jeans,3499.0,4999.0,15.0,4.0,21.0
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,3499.0,4999.0,15.0,4.0,21.0
WROGN,Men Anti Fit Jeans,1565.0,2699.0,0.42,3.9,45.0
COMFITS,Men Wide Leg Jeans,469.0,1299.0,8.3,3.9,45.0
Levis,Men 511 Slim Fit Jeans,2079.0,3999.0,0.48,3.9,31.0
Mufti,Men Slim Fit Jeans,2149.0,4299.0,0.5,3.9,31.0
Louis Philippe Jeans,Men Slim Fit Jeans,1946.0,3299.0,0.41,3.9,31.0
Flying Machine,Men Slim Fit Jeans,1549.0,2499.0,0.38,3.9,31.0
COMFITS,Men Cotton Regular Fit Jeans,469.0,1299.0,8.3,3.6,7.0
LINARIA,Men Relaxed Fit Jeans,470.0,1299.0,8.29,3.6,7.0
WROGN,Men Anti Fit Jeans,1399.0,2799.0,0.5,4.1,25.0
U.S. Polo Assn. Denim Co.,Men Regallo Skinny Fit Jeans,1655.0,2299.0,0.28,4.5,93.0
COMFITS,Men Mid-Rise Jeans,489.0,1299.0,8.1,4.5,93.0
Mufti,Men Mid-Rise Skinny Fit Jeans,1393.0,3399.0,0.59,3.8,16.0
Tommy Hilfiger,Men Slim Fit Jeans,1393.0,3399.0,0.59,3.8,16.0
Mufti,Men Straight Fit Jeans,1885.0,4599.0,0.59,3.8,16.0
FUGAZEE,Men Relaxed Fit Jeans,2099.0,3499.0,0.4,3.7,124.0
WROGN,Men Loose Fit Cotton Jeans,1374.0,2499.0,0.45,4.2,57.0
Flying Machine,Men Slim Fit Jeans,1829.0,2999.0,0.39,4.6,5.0
Calvin Klein Jeans,Men Tapered Fit Jeans,7799.0,12999.0,0.4,4.6,5.0
WROGN,Men Slim Fit Jeans,1039.0,2599.0,0.6,4.1,29.0
United Colors of Benetton,Men Relaxed Fit Mid-Rise Jeans,1039.0,2599.0,0.6,4.1,29.0
Mufti,Men Skinny Fit Jeans,1803.0,4399.0,0.59,4.4,13.0
RARE RABBIT,Men Stretchable Jeans,3319.0,3999.0,0.17,4.4,13.0
WROGN,Men Anti Fit Jeans,1623.0,2799.0,0.42,4.2,42.0
Campus Sutra,Men Cotton Slim Fit Jeans,588.0,1899.0,0.69,3.8,151.0
SPYKAR,Men Slim Fit Mid-Rise Jeans,1849.0,3699.0,0.5,3.8,151.0
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,1849.0,3699.0,0.5,3.8,151.0
MANGO MAN,Men Jeans,3184.0,5790.0,0.45,4.2,5.0
SPYKAR,Men Slim Fit Cotton Jeans,1959.0,3999.0,0.51,4.2,5.0
Roadster,Men Regular Fit Mid-Rise Jeans,759.0,1899.0,0.6,4.0,63.0
StyleCast,Men Straight Fit Jeans,1424.0,2849.0,0.5,2.6,7.0
United Colors of Benetton,Men Mid-Rise Regular Fit Jeans,1424.0,2849.0,0.5,2.6,7.0
Flying Machine,Slim Fit Stretchable Jeans,1829.0,2999.0,0.39,2.6,7.0
HERE&NOW,Men Jeans,2172.0,4099.0,0.47,2.0,9.0
Mufti,Men Super Skinny Fit Jeans,2155.0,4399.0,0.51,2.2,6.0
Levis,Men 511 Slim Fit Jeans,1478.0,2899.0,0.49,4.3,264.0
LINARIA,Men Tapered Fit Jeans,418.0,1299.0,8.81,4.3,264.0
Calvin Klein,Men Slim Fit Jeans,7799.0,12999.0,0.4,4.3,264.0
Calvin Klein Jeans,Men Slim Fit Jeans,7799.0,12999.0,0.4,4.3,264.0
Tommy Hilfiger,Men Slim Tapered Fit Jeans,5999.0,7999.0,0.25,4.3,264.0
SPYKAR,Men Mid Rise Stretchable Jeans,1749.0,3499.0,0.5,4.3,264.0
WROGN,Men Slim Fit Stretchable Jeans,1275.0,2199.0,0.42,4.2,130.0
Cantabil,Straight Fit Mid-Rise Jeans,1799.0,3999.0,0.55,4.2,130.0
U.S. Polo Assn.,Men Slim Fit Mid-Rise Jeans,1799.0,3999.0,0.55,4.2,130.0
Flying Machine,Men Relaxed Fit Jeans,2309.0,3499.0,0.34,4.2,130.0
Pepe Jeans,Men Slim Fit Stretchable Jeans,1799.0,3599.0,0.5,3.7,6.0
AMERICAN EAGLE OUTFITTERS,Men Skinny Fit Jeans,1599.0,3999.0,0.6,4.0,36.0
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,1599.0,3999.0,0.6,4.0,36.0
AMERICAN EAGLE OUTFITTERS,Men Skinny Fit Jeans,3449.0,4599.0,0.25,4.8,12.0
Pepe Jeans,Men Slim Fit Mid-Rise Jeans,3224.0,4299.0,0.25,4.8,12.0
Levis,Men 511 Slim Fit Jeans,2079.0,3999.0,0.48,3.9,31.0
Flying Machine,Men Slim Fit Jeans,1829.0,2999.0,0.39,3.9,31.0
FREAKINS,Men Pure Cotton Jeans,1999.0,4899.0,29.0,3.7,71.0
Flying Machine,Men Slim Fit Jeans,1549.0,2499.0,0.38,3.7,71.0
RARE RABBIT,Men Jeans,3779.0,4499.0,0.16,4.5,10.0
Metronaut,Men Regular Fit Denim  Jeans,497.0,1299.0,8.02,4.5,10.0
WROGN,Men Anti Fit Jeans,1399.0,2799.0,0.5,4.1,25.0
Mufti,Men Cotton Slim Fit  Jeans,1803.0,4399.0,0.59,3.4,9.0
VOLTEDGE,Men  Relaxed Fit Cargo Jeans,1749.0,3499.0,0.5,3.4,9.0
Mufti,Men Mid-Rise Skinny Fit Jeans,1393.0,3399.0,0.59,3.8,16.0
GAP,Stretchable Boomerang Jeans,1814.0,3299.0,0.45,3.8,16.0
United Colors of Benetton,Men Straight Fit Jeans,1814.0,3299.0,0.45,3.8,16.0
FUGAZEE,Men Relaxed Fit Jeans,2099.0,3499.0,0.4,3.7,124.0
Louis Philippe Jeans,Men Cotton Regular Fit Jeans,3311.0,4799.0,0.31,3.7,124.0
LINARIA,Men Slim Fit Mid-Rise Jeans,419.0,1299.0,8.8,3.7,124.0
United Colors of Benetton,Men Anti Fit Mid-Rise Jeans,419.0,1299.0,8.8,3.7,124.0
WROGN,Men Loose Fit Cotton Jeans,1374.0,2499.0,0.45,4.2,57.0
Flying Machine,Men Slim Fit Jeans,1829.0,2999.0,0.39,4.6,5.0
LINARIA,Men Jeans,469.0,1299.0,8.3,4.6,5.0
Metronaut,Men Slim Fit Jeans,574.0,2299.0,0.75,3.3,6.0
United Colors of Benetton,Men Relaxed Fit Mid-Rise Jeans,574.0,2299.0,0.75,3.3,6.0
Peter England Casuals,Men Slim Fit Jeans,1609.0,2299.0,0.3,4.4,37.0
Louis Philippe Jeans,Men Slim Fit Jeans,2966.0,4299.0,0.31,3.3,18.0
WROGN,Men Anti Fit Jeans,1623.0,2799.0,0.42,4.2,42.0
PAUL STREET,Men Mid-Rise Jeans,1599.0,3995.0,23.96,4.2,42.0
U.S. Polo Assn. Denim Co.,Men Mid Rise Stretchable Jeans,1599.0,3995.0,23.96,4.2,42.0
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,1599.0,3995.0,23.96,4.2,42.0
RARE RABBIT,Men Wells Slim Fit Jeans,3049.0,4999.0,0.39,3.6,14.0
FUBAR,Men Slim Fit Light Fade Jeans,479.0,2499.0,20.2,3.8,204.0
Roadster,Men Regular Fit Mid-Rise Jeans,759.0,1899.0,0.6,4.0,63.0
Mufti,Men Slim Fit Light Fade Jeans,1590.0,4299.0,0.63,3.7,14.0
Tommy Hilfiger,Men Slim Fit Cotton Jeans,1590.0,4299.0,0.63,3.7,14.0
Flying Machine,Slim Fit Stretchable Jeans,1829.0,2999.0,0.39,3.7,14.0
GUESS,Men Slim Fit Jeans,7000.0,10000.0,0.3,3.7,14.0
GUESS,Men Slim Fit Jeans,7000.0,10000.0,0.3,3.7,14.0
Levis,Men 511 Slim Fit Jeans,1478.0,2899.0,0.49,4.3,264.0
max,Men Cotton Regular Fit Jeans,1478.0,2899.0,0.49,4.3,264.0
U.S. Polo Assn. Denim Co.,Men Brandon Slim Tapered Jeans,1478.0,2899.0,0.49,4.3,264.0
United Colors of Benetton,Men Mid-Rise Regular Fit Jeans,1478.0,2899.0,0.49,4.3,264.0
LINARIA,Men Cotton Slim Fit Jeans,380.0,1299.0,9.19,4.3,264.0
LINARIA,Men Tapered Fit Jeans,418.0,1299.0,8.81,4.3,264.0
Calvin Klein Jeans,Men Slim Fit Jeans,418.0,1299.0,8.81,4.3,264.0
Snitch,Men Relaxed Fit Mid-Rise Jeans,418.0,1299.0,8.81,4.3,264.0
SPYKAR,Men Slim Fit Cotton Jeans,1709.0,5699.0,0.7,3.7,34.0
WROGN,Men Slim Fit Stretchable Jeans,1275.0,2199.0,0.42,4.2,130.0
PAUL STREET,Men Mid-Rise Light Fade Jeans,1599.0,3995.0,23.96,4.2,130.0
Mufti,Men Skinny Stretchable Jeans,1627.0,4399.0,0.63,3.7,21.0
Flying Machine,Men Relaxed Fit Jeans,2309.0,3499.0,0.34,3.7,21.0
V-Mart,Men Slim Fit Cotton Jeans,478.0,999.0,0.52,2.8,9.0
RARE RABBIT,Men Slim Fit Stretchable Jeans,4049.0,4999.0,0.19,4.3,9.0
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,4049.0,4999.0,0.19,4.3,9.0
SPYKAR,Men Low-Rise Cotton Jeans,1349.0,4499.0,0.7,4.3,52.0
Louis Philippe Jeans,Men Slim Fit Jeans,2966.0,4299.0,0.31,4.3,52.0
Levis,Men 511 Slim Fit Jeans,2079.0,3999.0,0.48,3.9,31.0
glitchez,Men Slim Fit Jeans,543.0,1599.0,0.66,3.5,16.0
Hubberholme,Men Cotton Relaxed Fit Jeans,1469.0,4199.0,0.65,3.9,97.0
Flying Machine,Men Slim Fit Jeans,1549.0,2499.0,0.38,3.9,97.0
Mufti,Men Slim Fit Jeans,1590.0,4299.0,0.63,3.3,15.0
WROGN,Men Anti Fit Jeans,1399.0,2799.0,0.5,4.1,25.0
CS LIFE,Men Slim Fit Jeans,524.0,2499.0,0.79,3.3,7.0
SPYKAR,Men Regular Fit Mid Rise Jeans,1559.0,3899.0,0.6,4.8,5.0
Mufti,Men Mid-Rise Skinny Fit Jeans,1393.0,3399.0,0.59,3.8,16.0
Metronaut,Men Slim Fit Jeans,574.0,2299.0,0.75,3.8,16.0
Metronaut,Men Relaxed Fit Jeans,469.0,1299.0,8.3,3.8,16.0
FUGAZEE,Men Relaxed Fit Jeans,2099.0,3499.0,0.4,3.7,124.0
Monte Carlo,Men Regular Fit Mid-Rise Jeans,1679.0,2799.0,0.4,3.7,124.0
WROGN,Men Loose Fit Cotton Jeans,1374.0,2499.0,0.45,4.2,57.0
Flying Machine,Men Slim Fit Jeans,1829.0,2999.0,0.39,4.6,5.0
Moda Rapido,Men Relaxed Fit Jeans,494.0,1299.0,0.61,2.6,28.0
WROGN,Men Straight Fit Jeans,494.0,1299.0,0.61,2.6,28.0
United Colors of Benetton,Men Relaxed Fit Mid-Rise Jeans,494.0,1299.0,0.61,2.6,28.0
AMERICAN EAGLE OUTFITTERS,Men Slim Fit Mid-Rise Jeans,2759.0,4599.0,0.4,2.6,28.0
Pepe Jeans,Mid-Rise Stretchable Jeans,2759.0,4599.0,0.4,2.6,28.0
WROGN,Men Anti Fit Jeans,1623.0,2799.0,0.42,4.2,42.0
Moda Rapido,Men Regular Fit Mid-Rise Jeans,506.0,1299.0,0.61,4.2,42.0
SZN,Men Regular Fit Mid-Rise Jeans,506.0,1299.0,0.61,4.2,42.0
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,506.0,1299.0,0.61,4.2,42.0
SZN,Men Boyfriend Fit Mid-Rise Jeans,506.0,1299.0,0.61,4.2,42.0
Pepe Jeans,Men Slim Fit Jeans,2749.0,5499.0,0.5,4.3,17.0
Roadster,Men Regular Fit Mid-Rise Jeans,759.0,1899.0,0.6,4.0,63.0
BEAT LONDON by PEPE JEANS,Men Low-Rise Jeans,1299.0,2799.0,15.0,4.2,151.0
Moda Rapido,Men Relaxed Fit Jeans,481.0,1299.0,0.62,2.2,5.0
Flying Machine,Slim Fit Stretchable Jeans,1829.0,2999.0,0.39,2.2,5.0
SHOWOFF,Men Tapered Fit Low-Rise Jeans,2719.0,6798.0,0.6,2.2,5.0
RARE RABBIT,Men Reney Slim Fit Jeans,2749.0,4999.0,0.45,4.3,48.0
Levis,Men 511 Slim Fit Jeans,1478.0,2899.0,0.49,4.3,264.0
COMFITS,Men Boyfriend Fit Jeans,488.0,1299.0,8.11,4.3,264.0
RARE RABBIT,Men Alex Primary Jeans,2999.0,3999.0,0.25,4.3,264.0
United Colors of Benetton,Men Mid-Rise Regular Fit Jeans,2999.0,3999.0,0.25,4.3,264.0
Flying Machine,Men Slim Fit Jeans,2999.0,3999.0,0.25,4.3,264.0
Banana Club,Men Straight Fit Denim Jeans,2999.0,3999.0,0.25,4.3,264.0
Calvin Klein Jeans,Men Slim Fit Jeans,2999.0,3999.0,0.25,4.3,264.0
Flying Machine,Men Slim Fit Mid-Rise Jeans,1524.0,2499.0,0.39,4.3,264.0
Pepe Jeans,Men Vapour Slim Fit Jeans,1449.0,2899.0,0.5,4.3,29.0
WROGN,Men Slim Fit Stretchable Jeans,1275.0,2199.0,0.42,4.2,130.0
NEXT,Men Straight Classic Jeans,2974.0,3499.0,0.15,4.2,130.0
WROGN,Men Relaxed Fit Mid-Rise Jeans,1399.0,2799.0,0.5,4.2,130.0
Flying Machine,Men Relaxed Fit Jeans,2309.0,3499.0,0.34,4.2,130.0
Flying Machine,Men Slim Fit Jeans,1409.0,2999.0,0.53,3.5,15.0
WROGN,Men Skinny Fit Jeans,1819.0,2599.0,0.3,3.5,15.0
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,1819.0,2599.0,0.3,3.5,15.0
Tommy Hilfiger,Heavy Fade Stretchable Jeans,5999.0,9999.0,0.4,3.5,15.0
WROGN,Men Cargo Jeans,1791.0,2799.0,0.36,4.3,85.0
Levis,Men 511 Slim Fit Jeans,2079.0,3999.0,0.48,3.9,31.0
AMERICAN EAGLE OUTFITTERS,Men Straight Fit Jeans,3224.0,4299.0,0.25,3.0,8.0
Snitch,Men Mid-Rise Jeans,3224.0,4299.0,0.25,3.0,8.0
Flying Machine,Men Slim Fit Jeans,1549.0,2499.0,0.38,3.0,8.0
WROGN,Men Wide Leg Mid-Rise Jeans,1739.0,2899.0,0.4,3.0,8.0
THE BEETEL HOUSE,Men Mid-Rise Jeans,599.0,2999.0,24.0,3.0,8.0
WROGN,Men Anti Fit Jeans,1399.0,2799.0,0.5,4.1,25.0
LINARIA,Men Relaxed Fit Jeans,378.0,1299.0,9.21,3.4,5.0
John Pride,Men Plus Size Jeans,1749.0,2499.0,0.3,3.4,5.0
Mufti,Men Mid-Rise Skinny Fit Jeans,1393.0,3399.0,0.59,3.8,16.0
LINARIA,Men Classic Regular Fit Jeans,489.0,1299.0,8.1,3.8,16.0
SPYKAR,Men Slim Fit Low-Rise Jeans,1519.0,3999.0,0.62,3.9,44.0
FUGAZEE,Men Relaxed Fit Jeans,2099.0,3499.0,0.4,3.7,124.0
WROGN,Men Loose Fit Cotton Jeans,1374.0,2499.0,0.45,4.2,57.0
Flying Machine,Men Slim Fit Jeans,1829.0,2999.0,0.39,4.6,5.0
LINARIA,Men Relaxed Fit Jeans,378.0,1299.0,9.21,3.4,5.0
John Pride,Men Plus Size Jeans,1749.0,2499.0,0.3,3.4,5.0
United Colors of Benetton,Men Relaxed Fit Mid-Rise Jeans,1749.0,2499.0,0.3,3.4,5.0
LINARIA,Men Classic Regular Fit Jeans,489.0,1299.0,8.1,3.4,5.0
SPYKAR,Men Slim Fit Low-Rise Jeans,1519.0,3999.0,0.62,3.9,44.0
WROGN,Men Anti Fit Jeans,1623.0,2799.0,0.42,4.2,42.0
AMERICAN EAGLE OUTFITTERS,Men Slim Fit Jeans,2759.0,4599.0,0.4,4.2,42.0
Hubberholme,Men Relaxed Fit Jeans,1363.0,4399.0,0.69,4.2,261.0
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,1363.0,4399.0,0.69,4.2,261.0
Numero Uno,Men Skinny Fit Low-Rise Jeans,1499.0,2999.0,0.5,4.2,261.0
Canary London,Men Cotton Slim Fit Jeans,1599.0,3999.0,0.6,4.2,261.0
Roadster,Men Regular Fit Mid-Rise Jeans,759.0,1899.0,0.6,4.0,63.0
LINARIA,Men Jeans,469.0,1299.0,8.3,4.0,63.0
COMFITS,Men Low Distress Jeans,469.0,1299.0,8.3,4.0,63.0
Flying Machine,Slim Fit Stretchable Jeans,1829.0,2999.0,0.39,4.0,63.0
Moda Rapido,Men Tapered Fit Mid-Rise Jeans,454.0,1299.0,0.65,3.3,7.0
WROGN,Men Relaxed Fit Jeans,1799.0,2999.0,0.4,3.3,7.0
Levis,Men 511 Slim Fit Jeans,1478.0,2899.0,0.49,4.3,264.0
LINARIA,Men Boyfriend Fit Jeans,611.0,1299.0,0.52,4.3,264.0
SZN,Men Slim Fit Mid-Rise Jeans,428.0,1299.0,0.67,4.3,264.0
United Colors of Benetton,Men Mid-Rise Regular Fit Jeans,428.0,1299.0,0.67,4.3,264.0
U.S. Polo Assn. Denim Co.,Men Slim Fit Jeans,2849.0,3799.0,0.25,4.2,5.0
Hubberholme,Men Pure Cotton Jeans,1451.0,4399.0,0.67,4.1,97.0
Calvin Klein Jeans,Men Slim Fit Jeans,1451.0,4399.0,0.67,4.1,97.0
Pepe Jeans,Men slim Fit Stretchable Jeans,2759.0,4599.0,0.4,4.1,97.0
WROGN,Straight Fit Mid-Rise Jeans,2759.0,4599.0,0.4,4.1,97.0
WROGN,Men Slim Fit Stretchable Jeans,1275.0,2199.0,0.42,4.2,130.0
U.S. Polo Assn. Denim Co.,Men Slim Fit Jeans,1655.0,2299.0,0.28,4.2,130.0
United Colors of Benetton,Men Slim Fit Mid Rise Jeans,2609.0,4499.0,0.42,3.9,15.0
Flying Machine,Men Relaxed Fit Jeans,2309.0,3499.0,0.34,3.9,15.0
HERE&NOW,Men Mid-Rise Heavy Fade Jeans,1430.0,2699.0,0.47,2.6,13.0
LINARIA,Men Baggy Slash Knee Jeans,468.0,1299.0,8.31,2.6,13.0
United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,468.0,1299.0,8.31,2.6,13.0
